Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Cash & Equivalents,25565000000,32695000000,40760000000,29965000000,28408000000,24687000000,20535000000,23646000000,27502000000,28098000000,37119000000,34940000000,34050000000,38466000000,36010000000,38016000000,33383000000,40174000000,39771000000,48844000000,50530000000,37988000000,44771000000,25913000000,31971000000,45059000000,27491000000,20289000000,18571000000,15157000000,16371000000,20484000000,18237000000,21514000000,16689000000,21120000000,15319000000,14489000000,19478000000,13844000000,12977000000,18949000000,14077000000,14259000000,11248000000,12053000000,16154000000,10746000000,7945000000,10121000000,10310000000,9815000000,12091000000,15978000000,10734000000,11261000000,9705000000,10018000000,7609000000,5263000000,5605000000,4466000000,7236000000,11875000000,9373000000,9070000000,9162000000,9352000000,7118000000,7095000000,7159000000,6392000000,8013000000,6346000000,4150000000,3491000000,3094000000,2254000000,2475000000,2969000000,3120000000,3158000000,3724000000,3396000000,3507000000,3410000000,2612000000,2252000000,1246000000,1159000000,1946000000,2310000000,2121000000,2138000000,1737000000,1191000000,1344000000,1662000000,1586000000,1326000000,1773000000,1358000000,1221000000,1481000000,1203000000,1285000000,1193000000,1230000000,1018000000,1273000000,1174000000,1552000000,1359000000,500000000,824000000,756000000,1168000000,1375000000,1148000000,1203000000,1141695000,,972388000,676413000,,
Short-TermInvestments,36236000000,34455000000,32340000000,31590000000,34074000000,31185000000,30820000000,24658000000,20729000000,23413000000,26794000000,27699000000,27646000000,31368000000,40816000000,52927000000,59642000000,53877000000,67391000000,51713000000,44084000000,42104000000,41656000000,40388000000,38999000000,42881000000,49662000000,53892000000,58188000000,51944000000,44081000000,46671000000,43519000000,33769000000,21385000000,20481000000,19384000000,18607000000,12985000000,11233000000,24828000000,22401000000,26634000000,26287000000,31358000000,27084000000,23666000000,18383000000,19709000000,18417000000,19846000000,16137000000,16304000000,13256000000,16243000000,14359000000,14583000000,13137000000,17187000000,18201000000,18617000000,20547000000,18411000000,10236000000,11401000000,10378000000,9286000000,6034000000,6649000000,5482000000,4710000000,3718000000,1163000000,1880000000,4557000000,4770000000,4432000000,4803000000,3973000000,2495000000,1846000000,1436000000,1067000000,1170000000,1038000000,1116000000,1850000000,2085000000,3060000000,3150000000,2421000000,2026000000,2097000000,2006000000,2328000000,2836000000,2482000000,1947000000,2074000000,1900000000,1333000000,1564000000,1357000000,819000000,790000000,538000000,434000000,229000000,212000000,186000000,633000000,193000000,0,92000000,276000000,196000000,508000000,611000000,439000000,55000000,86599000,,150387000,215890000,,
Cash & Cash Equivalents,153041000000,162337000000,172575000000,162099000000,166543000000,166333000000,165450000000,169109000000,179308000000,192730000000,202596000000,190516000000,193644000000,204373000000,195571000000,191830000000,193617000000,192844000000,207061000000,205898000000,210610000000,225411000000,245035000000,237100000000,243743000000,267226000000,285097000000,268895000000,261516000000,256841000000,246090000000,237585000000,231520000000,232928000000,215739000000,205666000000,202848000000,193539000000,177955000000,155239000000,164490000000,150589000000,158842000000,146761000000,146620000000,144687000000,137112000000,121251000000,117221000000,110176000000,97601000000,81570000000,76156000000,65767000000,59707000000,51011000000,45839000000,41704000000,39820000000,33992000000,31121000000,28878000000,28145000000,24490000000,20774000000,19448000000,18448000000,15386000000,13767000000,12577000000,11869000000,10110000000,9176000000,8226000000,8707000000,8261000000,7526000000,7057000000,6448000000,5464000000,4966000000,4594000000,4791000000,4566000000,4545000000,4526000000,4490000000,4337000000,4354000000,4388000000,4468000000,4464000000,4364000000,4295000000,4512000000,4813000000,5062000000,5153000000,5800000000,3565000000,3106000000,2922000000,2578000000,2300000000,1993000000,1823000000,1627000000,1459000000,1230000000,1459000000,1807000000,1745000000,1359000000,592000000,1100000000,952000000,1676000000,1986000000,1587000000,1258000000,1228294000,,1122775000,892303000,,
Cash Growth,-8.11%,-2.40%,4.31%,-4.15%,-7.12%,-13.70%,-18.34%,-11.24%,-7.40%,-5.70%,3.59%,-0.68%,0.01%,5.98%,-5.55%,-6.83%,-8.07%,-14.45%,-15.50%,-13.16%,-13.59%,-15.65%,-14.05%,-11.82%,-6.80%,4.04%,15.85%,13.18%,12.96%,10.27%,14.07%,15.52%,14.13%,20.35%,21.23%,32.48%,23.32%,28.52%,12.03%,5.78%,12.19%,4.08%,15.85%,21.04%,25.08%,31.32%,40.48%,48.65%,53.92%,67.52%,63.47%,59.91%,66.14%,57.70%,49.94%,50.07%,47.29%,44.41%,41.48%,38.80%,49.81%,48.49%,52.56%,59.17%,50.90%,54.63%,55.43%,52.19%,50.03%,52.89%,36.32%,22.38%,21.92%,16.57%,35.03%,51.19%,51.55%,53.61%,34.59%,19.67%,9.26%,1.50%,6.70%,5.28%,4.39%,3.14%,0.49%,-2.84%,-0.23%,2.17%,-0.98%,-7.25%,-13.79%,-16.65%,-22.21%,35.01%,62.97%,76.35%,124.98%,55.00%,55.85%,60.29%,58.45%,57.64%,62.03%,24.95%,-9.96%,-16.39%,-9.49%,146.45%,64.27%,83.30%,-18.91%,-70.19%,-30.69%,-24.32%,36.45%,,41.35%,40.98%,,,,,,
Receivables,43172000000,41150000000,50102000000,60985000000,39186000000,35899000000,54180000000,60932000000,42242000000,45400000000,65253000000,51506000000,33908000000,33036000000,58620000000,37445000000,32075000000,30677000000,39946000000,45804000000,26474000000,26278000000,36981000000,48995000000,26367000000,22408000000,50899000000,35673000000,22632000000,20612000000,27977000000,29299000000,19042000000,19824000000,24621000000,30343000000,19907000000,18164000000,29976000000,27219000000,16841000000,15820000000,25198000000,20641000000,13453000000,13336000000,21534000000,18692000000,14298000000,13769000000,16484000000,11717000000,11471000000,11095000000,10874000000,9924000000,6399000000,2886000000,3090000000,5057000000,2686000000,1932000000,2196000000,2422000000,1603000000,1593000000,1939000000,1637000000,1410000000,928000000,1621000000,1252000000,1089000000,861000000,1331000000,895000000,827000000,888000000,865000000,774000000,629000000,585000000,586000000,766000000,568000000,492000000,497000000,565000000,626000000,644000000,498000000,466000000,598000000,637000000,441000000,953000000,967000000,940000000,892000000,681000000,896000000,804000000,913000000,955000000,915000000,807000000,902000000,1035000000,1207000000,1149000000,1492000000,1496000000,1292000000,1366000000,1944000000,1931000000,1553000000,1633000000,1599000000,1581000000,1277083000,,1247954000,1381946000,,
Inventory,6165000000,6232000000,6511000000,6331000000,7351000000,7482000000,6820000000,4946000000,5433000000,5460000000,5876000000,6580000000,5178000000,5219000000,4973000000,4061000000,3978000000,3334000000,4097000000,4106000000,3355000000,4884000000,4988000000,3956000000,5936000000,7662000000,4421000000,4855000000,3146000000,2910000000,2712000000,2132000000,1831000000,2281000000,2451000000,2349000000,2042000000,2396000000,2283000000,2111000000,1594000000,1829000000,2122000000,1764000000,1697000000,1245000000,1455000000,791000000,1122000000,1102000000,1236000000,776000000,889000000,930000000,885000000,1051000000,942000000,638000000,576000000,455000000,380000000,312000000,396000000,509000000,545000000,364000000,459000000,346000000,251000000,208000000,303000000,270000000,213000000,204000000,244000000,165000000,193000000,164000000,156000000,101000000,72000000,63000000,89000000,56000000,38000000,41000000,44000000,45000000,34000000,26000000,23000000,11000000,19000000,10000000,21000000,33000000,5000000,10000000,15000000,20000000,7000000,18000000,25000000,78000000,129000000,257000000,404000000,437000000,534000000,509000000,488000000,662000000,1061000000,1466000000,1947000000,1775000000,1367000000,984000000,1084000000,1088000000,1197060000,,1338637000,1506638000,,
Other Current Assets,14297000000,13884000000,13979000000,14695000000,13640000000,13660000000,16422000000,21223000000,16386000000,15809000000,18112000000,14111000000,13641000000,13376000000,13687000000,11264000000,10987000000,15691000000,12026000000,12352000000,10530000000,12092000000,12432000000,12087000000,12488000000,12043000000,11337000000,13936000000,10338000000,11367000000,12191000000,8283000000,11132000000,10204000000,11073000000,15085000000,14301000000,14235000000,18681000000,14124000000,11709000000,11542000000,12316000000,10335000000,10463000000,9619000000,9539000000,9041000000,8869000000,7303000000,6895000000,6543000000,6143000000,5738000000,5191000000,5083000000,4404000000,5657000000,4870000000,2579000000,7882000000,6596000000,6924000000,4964000000,5076000000,5331000000,5343000000,4587000000,3317000000,2316000000,2871000000,2877000000,2013000000,1995000000,1880000000,979000000,830000000,898000000,853000000,716000000,619000000,542000000,563000000,499000000,395000000,409000000,381000000,441000000,477000000,435000000,384000000,330000000,413000000,554000000,399000000,414000000,359000000,353000000,342000000,358000000,289000000,348000000,351000000,365000000,338000000,326000000,440000000,493000000,522000000,525000000,632000000,612000000,742000000,853000000,560000000,566000000,595000000,558000000,448000000,549000000,557552000,,498641000,557468000,,
Total Current Assets,125435000000,128416000000,143692000000,143566000000,122659000000,112913000000,128777000000,135405000000,112292000000,118180000000,153154000000,134836000000,114423000000,121465000000,154106000000,143713000000,140065000000,143753000000,163231000000,162819000000,134973000000,123346000000,140828000000,131339000000,115761000000,130053000000,143810000000,128645000000,112875000000,101990000000,103332000000,106869000000,93761000000,87592000000,76219000000,89378000000,70953000000,67891000000,83403000000,68531000000,67949000000,70541000000,80347000000,73286000000,68219000000,63337000000,72348000000,57653000000,51943000000,50712000000,54771000000,44988000000,46898000000,46997000000,43927000000,41678000000,36033000000,32336000000,33332000000,31555000000,35170000000,33853000000,35163000000,30006000000,27998000000,26736000000,26189000000,21956000000,18745000000,16029000000,16664000000,14509000000,12491000000,11286000000,12162000000,10300000000,9376000000,9007000000,8322000000,7055000000,6286000000,5784000000,6029000000,5887000000,5546000000,5468000000,5384000000,5388000000,5443000000,5414000000,5272000000,5143000000,5248000000,5345000000,4926000000,5427000000,5157000000,4912000000,4909000000,4285000000,4298000000,4092000000,3867000000,3698000000,3375000000,3213000000,3373000000,3424000000,3493000000,3642000000,4419000000,4515000000,4454000000,4277000000,5551000000,5224000000,5191000000,5161000000,4718000000,4476000000,4259989000,,4208007000,4338355000,,
"Property, Plant & Equipment",44502000000,43546000000,43666000000,43715000000,43550000000,43398000000,42951000000,42117000000,40335000000,39304000000,39245000000,39440000000,38615000000,37815000000,37933000000,36766000000,35687000000,35889000000,37031000000,37378000000,37636000000,38746000000,39597000000,41304000000,38117000000,35077000000,33679000000,33783000000,29286000000,27163000000,26510000000,27010000000,25448000000,23203000000,22300000000,22471000000,21149000000,20151000000,20392000000,20624000000,17585000000,15120000000,15488000000,16597000000,16327000000,15026000000,15422000000,15452000000,10487000000,8847000000,7816000000,7777000000,6749000000,6241000000,5868000000,4768000000,3990000000,3504000000,3115000000,2954000000,2653000000,2546000000,2580000000,2455000000,2177000000,1962000000,1870000000,1832000000,1626000000,1409000000,1362000000,1281000000,1197000000,1005000000,855000000,817000000,764000000,742000000,735000000,707000000,684000000,687000000,684000000,669000000,639000000,619000000,605000000,621000000,589000000,587000000,573000000,564000000,347000000,331000000,325000000,419000000,314000000,314000000,318000000,318000000,313000000,330000000,344000000,348000000,365000000,415000000,429000000,486000000,540000000,556000000,593000000,598000000,615000000,692000000,712000000,711000000,691000000,663000000,661000000,667000000,664982000,,642336000,659546000,,
Long-Term Investments,91240000000,95187000000,99475000000,100544000000,104061000000,110461000000,114095000000,120805000000,131077000000,141219000000,138683000000,127877000000,131948000000,134539000000,118745000000,100887000000,100592000000,98793000000,99899000000,105341000000,115996000000,145319000000,158608000000,170799000000,172773000000,179286000000,207944000000,194714000000,184757000000,189740000000,185638000000,170430000000,169764000000,177645000000,177665000000,164065000000,168145000000,160443000000,145492000000,130162000000,126685000000,109239000000,118131000000,106215000000,104014000000,105550000000,97292000000,92122000000,89567000000,81638000000,67445000000,55618000000,47761000000,36533000000,32730000000,25391000000,21551000000,18549000000,15024000000,10528000000,6899000000,3865000000,2498000000,2379000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000000,0,48000000,79000000,101000000,128000000,146000000,151000000,447000000,786000000,1236000000,1544000000,2140000000,339000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
