Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Net Income,21448000000,23636000000,33916000000,22956000000,19881000000,24160000000,29998000000,20721000000,19442000000,25010000000,34630000000,20551000000,21744000000,23630000000,28755000000,12673000000,11253000000,11249000000,22236000000,13686000000,10044000000,11561000000,19965000000,14125000000,11519000000,13822000000,20065000000,10714000000,8717000000,11029000000,17891000000,9014000000,7796000000,10516000000,18361000000,11124000000,10677000000,13569000000,18024000000,8467000000,7748000000,10223000000,13072000000,7512000000,6900000000,9547000000,13078000000,8223000000,8824000000,11622000000,13064000000,6623000000,7308000000,5987000000,6004000000,4308000000,3253000000,3074000000,3378000000,2532000000,1828000000,1620000000,2255000000,2421000000,1072000000,1045000000,1581000000,903000000,818000000,770000000,1004000000,542000000,472000000,410000000,565000000,428000000,319000000,290000000,295000000,96000000,61000000,46000000,63000000,44000000,19000000,14000000,-8000000,-45000000,32000000,40000000,38000000,66000000,61000000,43000000,-195000000,170000000,200000000,233000000,183000000,111000000,203000000,135000000,152000000,106000000,101000000,55000000,47000000,-161000000,-56000000,-708000000,-120000000,25000000,-32000000,-740000000,-69000000,60000000,103000000,73000000,188000000,115000000,138000000,17000000,40000000,3075000,-188316000,161341000
Depreciation & Amortization,2850000000,2836000000,2848000000,2653000000,3052000000,2898000000,2916000000,2865000000,2805000000,2737000000,2697000000,2989000000,2832000000,2797000000,2666000000,2702000000,2752000000,2786000000,2816000000,3179000000,2933000000,3040000000,3395000000,2754000000,2665000000,2739000000,2745000000,2484000000,2354000000,2332000000,2987000000,2548000000,2526000000,2477000000,2954000000,3119000000,3084000000,2479000000,2575000000,1969000000,1946000000,1887000000,2144000000,1783000000,1694000000,1692000000,1588000000,981000000,835000000,740000000,721000000,543000000,481000000,434000000,356000000,329000000,273000000,216000000,209000000,203000000,182000000,181000000,168000000,157000000,117000000,116000000,106000000,103000000,81000000,69000000,74000000,66000000,57000000,50000000,52000000,51000000,46000000,41000000,41000000,40000000,41000000,36000000,33000000,29000000,24000000,29000000,31000000,29000000,28000000,29000000,28000000,28000000,26000000,22000000,24000000,18000000,25000000,21000000,20000000,19000000,19000000,24000000,23000000,23000000,32000000,28000000,28000000,41000000,22000000,30000000,25000000,6000000,22000000,46000000,42000000,23000000,37000000,29000000,38000000,46000000,41000000,38000000,43000000,42364000,,39401000
Share-Based Compensation,2869000000,2964000000,2997000000,2625000000,2617000000,2686000000,2905000000,2278000000,2243000000,2252000000,2265000000,1945000000,1960000000,1981000000,2020000000,1724000000,1698000000,1697000000,1710000000,1499000000,1496000000,1514000000,1559000000,1345000000,1351000000,1348000000,1296000000,1174000000,1193000000,1217000000,1256000000,1030000000,1054000000,1048000000,1078000000,915000000,856000000,927000000,888000000,762000000,724000000,696000000,681000000,555000000,578000000,575000000,545000000,448000000,448000000,424000000,420000000,298000000,284000000,287000000,299000000,224000000,219000000,231000000,205000000,180000000,179000000,181000000,170000000,141000000,133000000,132000000,110000000,68000000,65000000,63000000,46000000,40000000,37000000,42000000,44000000,161000000,21000000,145000000,150000000,44000000,60000000,16000000,9000000,14000000,7000000,1000000,1000000,5000000,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Other Operating Activities,1691000000,-6746000000,134000000,-6636000000,830000000,-1184000000,-1814000000,-1737000000,-1598000000,-1833000000,7374000000,-5285000000,-5442000000,-4427000000,5322000000,3477000000,568000000,-2421000000,3754000000,1546000000,-2837000000,-4960000000,1771000000,1299000000,-1047000000,-2779000000,4187000000,1377000000,-3592000000,-2008000000,5100000000,3941000000,-742000000,-2440000000,5070000000,-1683000000,371000000,2106000000,12235000000,2052000000,-163000000,732000000,6773000000,58000000,-1344000000,690000000,8215000000,-516000000,82000000,1191000000,3349000000,2965000000,3035000000,-489000000,3114000000,822000000,1056000000,-1191000000,1989000000,195000000,81000000,-1141000000,1345000000,1576000000,-1000000,-100000000,990000000,622000000,263000000,-168000000,689000000,407000000,441000000,-627000000,-378000000,112000000,86000000,60000000,289000000,263000000,49000000,-37000000,114000000,-14000000,-42000000,54000000,86000000,93000000,-97000000,-67000000,-24000000,179000000,-120000000,-109000000,158000000,12000000,9000000,-193000000,170000000,112000000,-134000000,110000000,48000000,153000000,73000000,72000000,57000000,279000000,-172000000,787000000,187000000,265000000,297000000,332000000,214000000,-756000000,-166000000,-96000000,227000000,81000000,-37000000,-72000000,287000000,-444700000,188316000,-121935000
Operating Cash Flow,28858000000,22690000000,39895000000,21598000000,26380000000,28560000000,34005000000,24127000000,22892000000,28166000000,46966000000,20200000000,21094000000,23981000000,38763000000,20576000000,16271000000,13311000000,30516000000,19910000000,11636000000,11155000000,26690000000,19523000000,14488000000,15130000000,28293000000,15749000000,8672000000,12570000000,27234000000,16533000000,10634000000,11601000000,27463000000,13475000000,14988000000,19081000000,33722000000,13250000000,10255000000,13538000000,22670000000,9908000000,7828000000,12504000000,23426000000,9136000000,10189000000,13977000000,17554000000,10429000000,11108000000,6219000000,9773000000,5683000000,4801000000,2330000000,5781000000,3110000000,2270000000,841000000,3938000000,4295000000,1321000000,1193000000,2787000000,1696000000,1227000000,734000000,1813000000,1055000000,1007000000,-125000000,283000000,752000000,472000000,536000000,775000000,443000000,211000000,61000000,219000000,73000000,8000000,98000000,110000000,82000000,-37000000,2000000,42000000,275000000,-33000000,-44000000,-13000000,200000000,234000000,61000000,373000000,242000000,88000000,269000000,223000000,282000000,206000000,155000000,132000000,159000000,-206000000,109000000,92000000,296000000,287000000,-362000000,187000000,-673000000,-26000000,6000000,453000000,242000000,142000000,-17000000,370000000,-399261000,,78807000
Operating Cash Flow Growth,9.39%,-20.55%,17.32%,-10.48%,15.24%,1.40%,-27.60%,19.44%,8.52%,17.45%,21.16%,-1.83%,29.64%,80.16%,27.03%,3.35%,39.83%,19.33%,14.33%,1.98%,-19.69%,-26.27%,-5.67%,23.96%,67.07%,20.37%,3.89%,-4.74%,-18.45%,8.35%,-0.83%,22.69%,-29.05%,-39.20%,-18.56%,1.70%,46.15%,40.94%,48.75%,33.73%,31.00%,8.27%,-3.23%,8.45%,-23.17%,-10.54%,33.45%,-12.40%,-8.27%,124.75%,79.62%,83.51%,131.37%,166.91%,69.05%,82.73%,111.50%,177.05%,46.80%,-27.59%,71.84%,-29.51%,41.30%,153.24%,7.66%,62.53%,53.72%,60.76%,21.85%,,540.64%,40.29%,113.35%,,-63.48%,69.75%,123.70%,778.69%,253.88%,506.85%,2537.50%,-37.76%,99.09%,-10.98%,,4800.00%,161.90%,-70.18%,,,,37.50%,,,,-17.36%,165.91%,-77.32%,67.26%,-14.18%,-57.28%,73.55%,68.94%,77.36%,,42.20%,43.48%,-46.28%,,,-50.80%,,,,-58.72%,,,,22.43%,,,,,,,
Capital Expenditures,-2151000000,-1996000000,-2392000000,-2163000000,-2093000000,-2916000000,-3787000000,-3289000000,-2102000000,-2514000000,-2803000000,-3223000000,-2093000000,-2269000000,-3500000000,-1784000000,-1565000000,-1853000000,-2107000000,-2777000000,-2000000000,-2363000000,-3355000000,-3041000000,-3267000000,-4195000000,-2810000000,-3865000000,-2277000000,-2889000000,-3420000000,-3224000000,-2905000000,-2599000000,-4006000000,-3658000000,-2089000000,-2476000000,-3265000000,-3852000000,-2431000000,-1486000000,-2044000000,-2306000000,-2016000000,-2299000000,-2455000000,-3501000000,-2963000000,-1509000000,-1429000000,-4571000000,-962000000,-656000000,-1263000000,-813000000,-626000000,-301000000,-381000000,-472000000,-302000000,-100000000,-339000000,-511000000,-304000000,-160000000,-224000000,-205000000,-283000000,-105000000,-142000000,-145000000,-237000000,-193000000,-82000000,-96000000,-63000000,-43000000,-58000000,-59000000,-38000000,-35000000,-44000000,-58000000,-46000000,-40000000,-20000000,-64000000,-31000000,-43000000,-36000000,-163000000,-30000000,-17000000,-22000000,-77000000,-10000000,-17000000,-38000000,-38000000,-6000000,1000000,-5000000,-7000000,17000000,-2000000,35000000,24000000,5000000,-17000000,-18000000,35000000,-13000000,-11000000,-31000000,-49000000,-59000000,-29000000,-22000000,-37000000,-24000000,-75000000,-24000000,-47593000,,-44289000
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,13000000,-4000000,-9000000,0,-51000000,-339000000,-176000000,-958000000,-13000000,-320000000,-124000000,-167000000,-290000000,-126000000,-132000000,-173000000,-81000000,-181000000,-50000000,-17000000,-151000000,-6000000,-54000000,-86000000,-113000000,-115000000,-92000000,-23000000,-2867000000,-339000000,-34000000,-525000000,-53000000,-144000000,-15000000,-284000000,0,0,-350000000,0,-244000000,0,0,0,-23000000,-290000000,-325000000,0,0,30000000,-16000000,-14000000,-131000000,-26000000,-55000000,-8000000,-29000000,-6000000,-101000000,-115000000,-68000000,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52000000,0,0,0,-19000000,0,0,0,0,0,0,0,-201000000,105000000,96000000,0,-24000000,24000000,0,0,384000000,-1000000,-383000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Change in Investments,2412000000,2131000000,4603000000,5141000000,3036000000,5341000000,2483000000,2806000000,6953000000,-6390000000,-12929000000,4352000000,5747000000,-7895000000,-5279000000,7434000000,-2992000000,11407000000,-10396000000,2802000000,30120000000,15749000000,9422000000,552000000,8079000000,32778000000,-10564000000,-5768000000,-836000000,-11357000000,-15581000000,-3419000000,-1434000000,-10983000000,-16186000000,2556000000,-9245000000,-19786000000,-17942000000,9697000000,-19474000000,13289000000,-12539000000,2942000000,-4252000000,-12002000000,-10730000000,-820000000,-9339000000,-12603000000,-15665000000,-8028000000,-14092000000,-901000000,-9443000000,-3563000000,-4468000000,463000000,-3507000000,-3186000000,-1060000000,-3574000000,-8226000000,-1321000000,-1041000000,-1149000000,-3249000000,615000000,-1165000000,-770000000,-992000000,-2565000000,706000000,2680000000,211000000,-341000000,378000000,-834000000,-1478000000,-645000000,-419000000,-367000000,108000000,-122000000,102000000,731000000,248000000,998000000,114000000,-740000000,-391000000,89000000,40000000,451000000,581000000,-270000000,-500000000,12000000,-38000000,-434000000,231000000,-244000000,-501000000,-5000000,-252000000,-104000000,-205000000,-17000000,-26000000,447000000,-440000000,-193000000,92000000,184000000,-80000000,312000000,103000000,-171000000,-385000000,33000000,-67000000,130000000,66000000,247684000,,75519000
Other Investing Activities,-388000000,-445000000,-284000000,-584000000,-506000000,-106000000,-141000000,-734000000,-617000000,-361000000,-374000000,-307000000,-78000000,-195000000,195000000,-68000000,-269000000,-365000000,-207000000,-810000000,-298000000,86000000,-56000000,-222000000,-739000000,259000000,-43000000,-228000000,114000000,94000000,-104000000,-603000000,-125000000,-24000000,-172000000,-160000000,46000000,23000000,65000000,19000000,30000000,-28000000,5000000,28000000,-95000000,-41000000,-52000000,8000000,-8000000,-14000000,-34000000,-293000000,22000000,35000000,-23000000,16000000,-46000000,80000000,-70000000,-113000000,-7000000,5000000,-60000000,-30000000,-1000000,2000000,19000000,15000000,21000000,-2000000,15000000,49000000,22000000,-25000000,-36000000,8000000,-10000000,-32000000,13000000,2000000,-3000000,-1000000,13000000,,18000000,6000000,9000000,26000000,-1000000,-42000000,10000000,-11000000,,-4000000,-3000000,-16000000,5000000,-10000000,-13000000,14000000,-8000000,-18000000,20000000,4000000,-56000000,32000000,,-408000000,-24000000,-15000000,-10000000,42000000,9000000,-6000000,-36000000,-79000000,,-11000000,-12000000,31000000,-10000000,9000000,-34000000,12772000,,33461000
