Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Revenue,85777000000,90753000000,119575000000,89498000000,81797000000,94836000000,117154000000,90146000000,82959000000,97278000000,123945000000,83360000000,81434000000,89584000000,111439000000,64698000000,59685000000,58313000000,91819000000,64040000000,53809000000,58015000000,84310000000,62900000000,53265000000,61137000000,88293000000,52579000000,45408000000,52896000000,78351000000,46852000000,42358000000,50557000000,75872000000,51501000000,49605000000,58010000000,74599000000,42123000000,37432000000,45646000000,57594000000,37472000000,35323000000,43603000000,54512000000,35966000000,35023000000,39186000000,46333000000,28270000000,28571000000,24667000000,26741000000,20343000000,15700000000,13499000000,15683000000,12207000000,9734000000,9084000000,11880000000,12907000000,7464000000,7512000000,9608000000,6789000000,5410000000,5264000000,7115000000,4837000000,4370000000,4359000000,5749000000,3678000000,3520000000,3243000000,3490000000,2350000000,2014000000,1909000000,2006000000,1715000000,1545000000,1475000000,1472000000,1443000000,1429000000,1495000000,1375000000,1450000000,1475000000,1431000000,1007000000,1870000000,1825000000,1945000000,2343000000,1336000000,1558000000,1530000000,1710000000,1556000000,1402000000,1405000000,1578000000,1614000000,1737000000,1601000000,2129000000,2321000000,2179000000,2185000000,3148000000,3003000000,2575000000,2652000000,2832000000,2494000000,2150000000,2077000000,2469000000,2140835000,1861979000,2000292000
Revenue Growth,4.87%,-4.31%,2.07%,-0.72%,-1.40%,-2.51%,-5.48%,8.14%,1.87%,8.59%,11.22%,28.84%,36.44%,53.63%,21.37%,1.03%,10.92%,0.51%,8.91%,1.81%,1.02%,-5.11%,-4.51%,19.63%,17.30%,15.58%,12.69%,12.22%,7.20%,4.63%,3.27%,-9.03%,-14.61%,-12.85%,1.71%,22.26%,32.52%,27.09%,29.53%,12.41%,5.97%,4.69%,5.65%,4.19%,0.86%,11.27%,17.65%,27.22%,22.58%,58.86%,73.27%,38.97%,81.98%,82.73%,70.51%,66.65%,61.29%,48.60%,32.01%,-5.42%,30.41%,20.93%,23.65%,90.12%,37.97%,42.71%,35.04%,40.36%,23.80%,20.76%,23.76%,31.51%,24.15%,34.41%,64.73%,56.51%,74.78%,69.88%,73.98%,37.03%,30.36%,29.42%,36.28%,18.85%,8.12%,-1.34%,7.05%,-0.48%,-3.12%,4.47%,36.54%,-22.46%,-19.18%,-26.43%,-57.02%,39.97%,17.14%,27.12%,37.02%,-14.14%,11.13%,8.90%,8.37%,-3.59%,-19.29%,-12.24%,-25.88%,-30.46%,-20.28%,-26.73%,-32.37%,-22.71%,-15.38%,-17.61%,11.16%,20.41%,19.77%,27.68%,14.70%,16.50%,15.47%,3.83%,,,,
Cost of Revenue,46099000000,48482000000,64720000000,49071000000,45384000000,52860000000,66822000000,52051000000,47074000000,54719000000,69702000000,48186000000,46179000000,51505000000,67111000000,40009000000,37005000000,35943000000,56602000000,39727000000,33582000000,36194000000,52279000000,38816000000,32844000000,37715000000,54381000000,32648000000,27920000000,32305000000,48175000000,29039000000,26252000000,30636000000,45449000000,30953000000,29924000000,34354000000,44858000000,26114000000,22697000000,27699000000,35748000000,23601000000,22299000000,27254000000,33452000000,21565000000,20029000000,20622000000,25630000000,16890000000,16649000000,14449000000,16443000000,12831000000,9564000000,7874000000,9272000000,7102000000,5751000000,5457000000,7373000000,8116000000,4864000000,5038000000,6276000000,4701000000,3415000000,3415000000,4895000000,3425000000,3045000000,3062000000,4185000000,2643000000,2476000000,2275000000,2494000000,1718000000,1455000000,1379000000,1470000000,1259000000,1117000000,1057000000,1066000000,1062000000,1038000000,1086000000,953000000,1013000000,1041000000,1046000000,1028000000,1403000000,1282000000,1396000000,1736000000,952000000,1131000000,1127000000,1228000000,1139000000,1042000000,1056000000,1225000000,1294000000,1389000000,1298000000,1732000000,1810000000,1776000000,2606000000,2673000000,2382000000,1847000000,1957000000,2018000000,1816000000,1576000000,1578000000,1877000000,1590527000,1255975000,1189367000
Gross Profit,39678000000,42271000000,54855000000,40427000000,36413000000,41976000000,50332000000,38095000000,35885000000,42559000000,54243000000,35174000000,35255000000,38079000000,44328000000,24689000000,22680000000,22370000000,35217000000,24313000000,20227000000,21821000000,32031000000,24084000000,20421000000,23422000000,33912000000,19931000000,17488000000,20591000000,30176000000,17813000000,16106000000,19921000000,30423000000,20548000000,19681000000,23656000000,29741000000,16009000000,14735000000,17947000000,21846000000,13871000000,13024000000,16349000000,21060000000,14401000000,14994000000,18564000000,20703000000,11380000000,11922000000,10218000000,10298000000,7512000000,6136000000,5625000000,6411000000,5105000000,3983000000,3627000000,4507000000,4791000000,2600000000,2474000000,3332000000,2088000000,1995000000,1849000000,2220000000,1412000000,1325000000,1297000000,1564000000,1035000000,1044000000,968000000,996000000,632000000,559000000,530000000,536000000,456000000,428000000,418000000,406000000,381000000,391000000,409000000,422000000,437000000,434000000,385000000,-21000000,467000000,543000000,549000000,607000000,384000000,427000000,403000000,482000000,417000000,360000000,349000000,353000000,320000000,348000000,303000000,397000000,511000000,403000000,-421000000,475000000,621000000,728000000,695000000,814000000,678000000,574000000,499000000,592000000,550308000,606004000,810925000
"Selling, General & Admin",6320000000,6468000000,6786000000,6151000000,5973000000,6201000000,6607000000,6440000000,6012000000,6193000000,6449000000,5616000000,5412000000,5314000000,5631000000,4936000000,4831000000,4952000000,5197000000,4578000000,4426000000,4458000000,4783000000,4216000000,4108000000,4150000000,4231000000,3814000000,3783000000,3718000000,3946000000,3482000000,3441000000,3423000000,3848000000,3705000000,3564000000,3460000000,3600000000,3158000000,2850000000,2932000000,3053000000,2673000000,2645000000,2672000000,2840000000,2551000000,2545000000,2339000000,2605000000,2025000000,1915000000,1763000000,1896000000,1571000000,1438000000,1220000000,1288000000,1063000000,1010000000,985000000,1091000000,999000000,916000000,886000000,960000000,823000000,746000000,680000000,714000000,625000000,584000000,592000000,632000000,471000000,473000000,447000000,470000000,388000000,354000000,345000000,343000000,314000000,299000000,300000000,299000000,278000000,272000000,270000000,289000000,268000000,281000000,292000000,297000000,282000000,278000000,287000000,319000000,235000000,243000000,239000000,279000000,235000000,216000000,223000000,234000000,259000000,307000000,348000000,372000000,359000000,364000000,404000000,441000000,378000000,404000000,386000000,415000000,346000000,333000000,330000000,375000000,378807000,417645000,409858000
Research & Development,8006000000,7903000000,7696000000,7307000000,7442000000,7457000000,7709000000,6761000000,6797000000,6387000000,6306000000,5772000000,5717000000,5262000000,5163000000,4978000000,4758000000,4565000000,4451000000,4110000000,4257000000,3948000000,3902000000,3750000000,3701000000,3378000000,3407000000,2997000000,2937000000,2776000000,2871000000,2570000000,2560000000,2511000000,2404000000,2220000000,2034000000,1918000000,1895000000,1686000000,1603000000,1422000000,1330000000,1168000000,1178000000,1119000000,1010000000,906000000,876000000,841000000,758000000,645000000,628000000,581000000,575000000,494000000,464000000,426000000,398000000,358000000,341000000,319000000,315000000,298000000,292000000,273000000,246000000,207000000,208000000,183000000,184000000,179000000,175000000,176000000,182000000,147000000,145000000,119000000,123000000,124000000,125000000,123000000,119000000,111000000,120000000,119000000,121000000,116000000,106000000,111000000,113000000,116000000,111000000,101000000,102000000,101000000,97000000,92000000,90000000,82000000,80000000,76000000,76000000,73000000,76000000,75000000,79000000,94000000,101000000,141000000,149000000,146000000,155000000,150000000,153000000,171000000,168000000,143000000,132000000,142000000,135000000,134000000,152000000,164542000,174169000,160282000
Operating Expenses,14326000000,14371000000,14482000000,13458000000,13415000000,13658000000,14316000000,13201000000,12809000000,12580000000,12755000000,11388000000,11129000000,10576000000,10794000000,9914000000,9589000000,9517000000,9648000000,8688000000,8683000000,8406000000,8685000000,7966000000,7809000000,7528000000,7638000000,6811000000,6720000000,6494000000,6817000000,6052000000,6001000000,5934000000,6252000000,5925000000,5598000000,5378000000,5495000000,4844000000,4453000000,4354000000,4383000000,3841000000,3823000000,3791000000,3850000000,3457000000,3421000000,3180000000,3363000000,2670000000,2543000000,2344000000,2471000000,2065000000,1902000000,1646000000,1686000000,1421000000,1351000000,1304000000,1406000000,1297000000,1208000000,1159000000,1206000000,1030000000,954000000,863000000,898000000,804000000,759000000,768000000,814000000,618000000,618000000,566000000,593000000,517000000,487000000,478000000,462000000,425000000,419000000,422000000,443000000,401000000,378000000,381000000,426000000,384000000,403000000,393000000,399000000,383000000,375000000,379000000,507000000,335000000,323000000,324000000,355000000,308000000,299000000,298000000,313000000,490000000,408000000,1019000000,521000000,477000000,519000000,761000000,594000000,549000000,566000000,529000000,530000000,488000000,341000000,464000000,527000000,543493000,912670000,570140000
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,8000000,10000000,0,0,0,3000000,23000000,7000000,0,0,24000000,0,11000000,0,0,0,0,0,98000000,18000000,0,9000000,0,0,7000000,0,0,137000000,0,530000000,0,-28000000,0,207000000,0,0,-6000000,0,-17000000,0,-127000000,0,0,144000,320856000,0
Operating Income,25352000000,27900000000,40373000000,26969000000,22998000000,28318000000,36016000000,24894000000,23076000000,29979000000,41488000000,23786000000,24126000000,27503000000,33534000000,14775000000,13091000000,12853000000,25569000000,15625000000,11544000000,13415000000,23346000000,16118000000,12612000000,15894000000,26274000000,13120000000,10768000000,14097000000,23359000000,11761000000,10105000000,13987000000,24171000000,14623000000,14083000000,18278000000,24246000000,11165000000,10282000000,13593000000,17463000000,10030000000,9201000000,12558000000,17210000000,10944000000,11573000000,15384000000,17340000000,8710000000,9379000000,7874000000,7827000000,5447000000,4234000000,3979000000,4725000000,3684000000,2632000000,2323000000,3101000000,3494000000,1392000000,1315000000,2126000000,1058000000,1041000000,986000000,1322000000,608000000,566000000,529000000,750000000,417000000,426000000,402000000,403000000,115000000,72000000,52000000,74000000,31000000,9000000,-4000000,-37000000,-20000000,13000000,28000000,-4000000,53000000,31000000,-8000000,-420000000,84000000,168000000,170000000,100000000,49000000,104000000,79000000,127000000,109000000,61000000,51000000,40000000,-170000000,-60000000,-716000000,-124000000,34000000,-116000000,-1182000000,-119000000,72000000,162000000,166000000,284000000,190000000,233000000,35000000,65000000,6815000,-306666000,240785000
Interest Expense / Income,0,0,0,1002000000,0,0,0,827000000,719000000,691000000,694000000,672000000,665000000,670000000,638000000,634000000,697000000,757000000,785000000,810000000,866000000,1010000000,890000000,868000000,846000000,792000000,734000000,666000000,602000000,530000000,525000000,450000000,409000000,321000000,276000000,238000000,201000000,163000000,131000000,115000000,100000000,85000000,84000000,83000000,53000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
