Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Market Capitalization,3229664350840,2647973753880,2994371342560,2676736860720,3050896326940,2609038895400,2066941771740,2417523223360,2292792740460,2851332731520,2892119663160,2428611988720,2221290562410,2034885116160,2243727809940,1920272742080,1532750886050,1083981415200,1287658197000,988886967600,910644764000,895667436000,741373529540,1090307495240,909841195180,851317901140,868879619760,796064939360,750897236800,753717936400,617588491660,607331410530,511591495000,585896085610,602303007930,654159240620,730210552500,717900191000,668533111600,603277600250,554608770660,478871430562,503935156158,438575109756,372201549321,415682475222,479363473512,625350104442,546079013186,559002433500,376409715591,374821918119,301790876719,323866072338,296843329158,267052701082,242680566746,209380684189,188278728674,163370997973,127074801084,95153884836,76282189710,113604700537,149957854163,125688009710,174958337413,133462058082,105556526831,80077658276,72900785544,65471266417,48706049882,53224967156,60586587782,44146918547,31110096800,34727355934,25734919247,14468053709,12806664549,9995286849,7640061529,7500869140,6848633007,5253614723,5048009769,5280647206,6304430646,8365988029,7888432948,5441801437,8116183725,7634783326,4998595582,8366653290,17047077716,21953584849,16569722407,10446279640,5783337260,4537778847,5312113244,5217545331,3751212165,3576240518,1702312380,2713140417,1857405064,2321342813,2880650474,2777856761,2598053010,3036501107,3919992891,4569022746,5628054549,4257102835,4676244868,4006545401,3020179448,3899970853,3430529917,,,
Market Cap Growth,5.86%,1.49%,44.87%,10.72%,33.06%,-8.50%,-28.53%,-0.46%,3.22%,40.12%,28.90%,26.47%,44.92%,87.72%,74.25%,94.19%,68.31%,21.02%,73.69%,-9.30%,0.09%,5.21%,-14.67%,36.96%,21.17%,12.95%,40.69%,31.08%,46.78%,28.64%,2.54%,-7.16%,-29.94%,-18.39%,-9.91%,8.43%,31.66%,49.92%,32.66%,37.55%,49.01%,15.20%,5.13%,-29.87%,-31.84%,-25.64%,27.35%,66.84%,80.95%,72.60%,26.80%,40.36%,24.36%,54.68%,57.66%,63.46%,90.97%,120.04%,146.82%,43.81%,-15.26%,-24.29%,-56.40%,-14.88%,42.06%,56.96%,140.00%,103.85%,116.72%,50.45%,20.32%,48.30%,56.56%,53.27%,135.43%,205.13%,142.92%,247.44%,236.84%,92.89%,87.00%,90.26%,51.35%,42.04%,8.63%,-37.20%,-36.01%,-2.96%,-22.32%,9.58%,57.81%,-34.96%,-52.39%,-65.22%,-69.83%,-19.91%,194.76%,383.80%,211.92%,100.21%,54.17%,26.89%,212.05%,92.31%,101.96%,54.06%,-40.91%,-2.33%,-28.51%,-23.55%,-26.51%,-39.20%,-53.84%,-28.67%,-16.17%,14.04%,86.35%,9.16%,36.31%,,,,,,,
Enterprise Value,3177927350840,2590226753880,2929836342560,2625725860720,2993633326940,2552320895400,2012601771740,2368483223360,2233175740460,2778583731520,2812321663160,2362814988720,2149437562410,1952157116160,2160199809940,1840878742080,1451856886050,1000644415200,1188889197000,891035967600,808452764000,782886436000,611068529540,967690495240,780698195180,705931901140,706182619760,642849939360,597720236800,595398936400,459047491660,456778410530,365006495000,432840085610,449527007930,512821240620,581780552500,568232191000,526981111600,483333600250,421158770660,345244430562,362054156158,308774109756,242539549321,270995475222,342251473512,504099104442,428858013186,448826433500,278808715591,293251918119,225634876719,258099072338,237136329158,216041701082,196841566746,167676684189,148458728674,129378997973,95953801084,66275884836,48137189710,89114700537,129183854163,106240009710,156510337413,118076058082,91789526831,67500658276,61031785544,55361266417,39530049882,44998967156,51879587782,35885918547,23584096800,27670355934,19286919247,9004053709,7840664549,5401286849,3151061529,3238869140,2610633007,1037614723,878009769,1259647206,2266430646,4288988029,3735432948,1294801437,4069183725,3656783326,797595582,3853653290,12285077716,17100584849,11069722407,7181279640,2977337260,2570778847,3688113244,3871545331,2711212165,2729240518,1051312380,2230140417,1705405064,1947342813,2203650474,2167856761,2375053010,3099501107,3621992891,4381022746,4661054549,3202102835,3602244868,3345545401,2612308448,3899970853,3060011917,-62004000,,
PE Ratio,31.68,26.38,29.67,27.60,32.20,27.66,21.72,24.22,23.01,27.97,28.76,25.65,25.59,26.67,35.10,33.45,26.24,18.95,22.38,17.90,16.35,15.67,12.48,18.32,16.21,15.97,17.20,16.46,16.10,16.48,13.66,13.29,10.70,11.56,11.21,12.25,14.39,15.02,15.04,15.27,14.39,12.70,13.61,11.84,9.86,10.48,11.48,14.99,13.61,14.48,11.41,14.46,12.78,16.56,17.84,19.06,19.83,19.37,20.12,19.84,15.64,12.91,11.23,18.57,32.59,28.91,42.97,38.19,33.68,28.72,30.03,32.92,25.98,30.91,37.82,33.24,31.11,46.80,51.68,54.39,59.84,58.11,54.57,108.71,-342.43,-750.52,265.69,81.24,35.82,40.81,37.92,-217.67,102.74,35.02,12.25,10.65,23.45,30.07,26.22,17.38,9.70,9.19,12.83,16.89,89.32,-31.10,-1.94,-2.60,-2.16,-2.78,-3.32,-3.40,-3.33,-4.70,23.47,10.78,11.75,8.28,10.21,12.92,15.25,-30.41,,,,
PS Ratio,8.38,6.94,7.76,6.98,7.95,6.78,5.33,6.13,5.92,7.39,7.65,6.64,6.40,6.25,7.63,7.00,5.60,4.05,4.81,3.80,3.52,3.47,2.83,4.11,3.56,3.44,3.63,3.47,3.36,3.42,2.83,2.82,2.32,2.58,2.56,2.80,3.26,3.38,3.35,3.30,3.11,2.72,2.90,2.57,2.20,2.46,2.91,4.00,3.67,3.93,2.94,3.46,3.01,3.70,3.89,4.09,4.25,4.10,4.03,3.81,2.91,2.30,1.92,3.03,4.78,4.29,6.46,5.43,4.67,3.71,3.53,3.39,2.68,3.08,3.74,3.17,2.47,3.13,2.64,1.75,1.68,1.39,1.13,1.21,1.15,0.90,0.87,0.92,1.10,1.44,1.38,1.01,1.40,1.25,0.75,1.05,2.29,3.06,2.45,1.70,0.91,0.73,0.88,0.88,0.63,0.56,0.26,0.38,0.24,0.28,0.33,0.28,0.25,0.28,0.35,0.41,0.53,0.42,0.49,0.44,0.34,0.46,,,,
PB Ratio,48.42,35.69,40.41,43.07,50.62,41.97,36.44,47.71,39.46,42.31,40.21,38.49,34.56,29.42,33.88,29.39,21.21,13.82,14.38,10.93,9.44,8.46,6.29,10.18,7.92,6.71,6.20,5.94,5.67,5.62,4.67,4.74,4.04,4.49,4.70,5.48,5.81,5.57,5.42,5.41,4.59,3.99,3.89,3.55,3.02,3.07,3.76,5.29,4.89,5.45,4.18,4.89,4.35,5.27,5.43,5.59,5.63,5.32,5.26,5.16,4.91,3.91,3.33,5.10,7.64,6.96,10.41,9.18,7.88,6.53,6.49,6.56,5.22,6.13,7.23,5.94,4.56,5.44,4.45,2.85,2.66,2.23,1.76,1.78,1.63,1.27,1.23,1.29,1.55,2.08,1.99,1.39,2.10,2.04,1.35,2.04,4.08,5.21,3.75,3.37,1.95,2.09,2.76,3.18,2.52,2.58,1.37,2.26,1.55,1.87,1.48,1.35,1.29,1.48,1.40,1.58,1.99,1.57,1.83,1.68,1.35,,1.67,,,
P/FCF Ratio,30.95,25.98,28.02,26.88,30.21,26.76,21.20,21.69,21.31,26.95,28.40,26.13,23.44,22.49,27.97,26.17,21.38,16.27,20.13,16.79,15.63,14.97,11.96,17.00,15.29,15.56,16.26,15.38,14.11,13.82,11.47,11.35,10.23,10.62,9.59,9.37,10.53,11.17,11.19,12.09,11.53,10.39,11.39,9.84,8.73,9.44,10.35,15.09,13.10,12.53,9.99,12.46,10.37,14.01,15.16,16.21,17.04,17.40,17.52,18.26,12.59,10.41,8.09,13.53,24.57,20.84,31.09,28.19,25.41,20.12,24.04,41.89,37.21,56.14,34.44,19.41,15.53,19.65,19.80,19.09,32.92,56.15,36.38,60.01,53.50,53.61,-5048.01,-62.13,700.49,597.57,-1314.74,-115.78,-225.45,30.42,14.04,11.52,21.12,33.01,18.60,13.50,6.84,4.60,6.11,6.38,5.17,11.84,7.06,18.33,6.28,3.01,9.41,7.16,-3.91,-2.97,-5.82,-11.45,10.66,5.82,7.06,6.94,-40.35,-42.39,9.91,,,
P/OCF Ratio,28.57,23.95,25.72,24.21,26.98,23.81,18.93,19.79,19.39,24.49,25.77,23.34,21.27,20.43,25.23,23.80,19.16,14.38,17.59,14.25,13.20,12.46,9.78,14.08,12.35,12.55,13.31,12.39,11.55,11.25,9.36,9.17,8.10,8.68,8.03,8.05,9.01,9.41,9.45,10.10,9.84,8.88,9.52,8.17,7.04,7.52,8.45,12.30,10.47,10.53,8.31,9.99,9.21,12.23,13.14,14.36,15.15,15.52,15.69,16.08,11.20,9.15,7.10,11.84,21.43,18.21,27.15,24.40,21.86,17.37,19.44,29.49,25.41,38.51,29.66,17.41,13.98,17.67,17.27,15.49,22.71,27.69,19.20,25.95,22.98,20.77,32.15,59.33,22.36,29.25,32.87,29.42,73.78,20.25,10.37,9.64,18.73,28.74,17.05,12.71,6.71,4.63,6.13,6.73,5.75,14.90,8.77,17.62,6.38,2.96,9.20,6.81,-4.63,-3.47,-7.75,-19.04,8.34,5.05,5.70,5.44,31.55,-229.41,9.27,,,
Debt/Equity,1.52,1.41,1.46,1.79,1.81,1.76,1.96,2.37,2.06,1.78,1.71,1.98,1.89,1.76,1.69,1.72,1.56,1.40,1.21,1.19,1.12,1.06,0.97,1.07,1.00,0.96,0.87,0.86,0.82,0.73,0.66,0.68,0.67,0.61,0.49,0.54,0.43,0.34,0.30,0.32,0.26,0.14,0.13,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.10,0.10,0.44,0.50,0.58,0.64,0.70,0.78,0.81,0.90,0.87,0.58,0.55,0.56,0.32,0.29,0.26,0.25,0.34,0.20,0.25,0.37,,0.37,0.41,,
Quick Ratio,0.80,0.87,0.92,0.84,0.81,0.76,0.77,0.71,0.70,0.76,0.88,0.91,0.89,0.97,1.02,1.22,1.31,1.30,1.44,1.38,1.35,1.13,1.14,0.99,1.10,1.24,1.11,1.09,1.22,1.20,1.05,1.22,1.13,1.10,0.82,0.89,0.84,0.87,0.85,0.82,1.18,1.32,1.23,1.40,1.54,1.48,1.31,1.24,1.27,1.32,1.35,1.35,1.48,1.66,1.59,1.72,1.97,2.13,2.13,2.48,1.62,1.96,1.89,2.16,2.43,2.18,1.94,1.83,2.17,2.46,1.84,1.76,2.04,2.04,1.98,2.63,2.67,2.37,2.27,2.35,2.60,2.62,2.26,2.26,2.52,2.50,3.11,2.96,2.87,2.90,3.08,3.16,2.98,2.66,2.75,2.58,2.56,2.45,2.32,2.52,2.60,2.41,2.35,2.14,2.09,1.90,1.52,1.37,1.28,1.30,1.61,1.62,1.38,0.86,1.13,1.24,1.48,1.61,1.65,1.46,1.31,,1.02,0.91,,
